country,house_style,climate_zone,plot_length_ft,plot_width_ft,num_floors,floor_height_ft,num_bedrooms,num_bathrooms,num_living_rooms,has_kitchen,has_dining,has_garage,has_garden,has_balcony,has_basement,has_swimming_pool,wall_material,roof_type,floor_material,num_windows,num_doors,window_type,quality_grade,year_built,furniture_included,furniture_style,plot_area_sqft,plot_area_cents,building_footprint,total_built_area,total_rooms,construction_cost_usd,construction_days,cost_per_sqft
India,Minimalist,Tropical,81.2,31.9,2,10,2,1,2,1,1,0,1,1,0,1,Wood Frame,Gable,Vinyl,16,5,Floor to Ceiling,Economy,2004,1,Modern,2590.28,5.95,1241.0,2482.0,7,168877.0,194,68.04
Italy,Ranch,Mediterranean,61.0,61.3,1,11,4,2,1,1,0,1,1,1,0,0,Concrete Block,Flat,Ceramic Tile,15,9,Single Hung,Standard,1999,1,Modern,3739.2999999999997,8.58,2276.0,2276.0,9,396478.0,150,174.2
France,Colonial,Temperate,33.8,73.9,2,11,5,2,1,1,1,0,1,0,1,1,Wood Frame,Gable,Hardwood,29,12,Single Hung,Standard,2007,1,Modern,2497.82,5.73,1141.0,2282.0,10,504085.0,207,220.9
Japan,Mediterranean,Mediterranean,131.0,116.5,2,10,6,3,1,1,1,1,1,0,0,0,Concrete Block,Shed,Marble,6,18,Single Hung,Premium,2004,1,Rustic,15261.5,35.04,7027.0,14054.0,13,3891359.0,522,276.89
USA,Victorian,Continental,65.1,105.2,1,10,3,2,1,1,1,1,0,1,0,0,Red Brick,Flat,Hardwood,6,11,Double Hung,Standard,2018,1,Modern,6848.5199999999995,15.72,4770.0,4770.0,9,851241.0,226,178.46
USA,Contemporary,Arid,130.6,112.1,2,10,3,3,2,1,1,1,1,0,1,0,Red Brick,Hip,Hardwood,28,10,Double Hung,Standard,2019,1,Modern,14640.259999999998,33.61,6182.0,12364.0,11,2257486.0,482,182.59
USA,Traditional,Continental,87.4,102.9,2,10,3,4,2,1,1,1,1,1,1,1,Red Brick,Mansard,Ceramic Tile,25,14,Single Hung,Economy,1984,1,Rustic,8993.460000000001,20.65,4481.0,8962.0,12,1100444.0,414,122.79
Canada,Modern,Tropical,51.9,81.0,1,10,4,4,2,1,1,0,1,1,1,0,Concrete Block,Flat,Vinyl,29,16,Casement,Luxury,1965,0,Modern,4203.9,9.65,1841.0,1841.0,12,558574.0,151,303.41
Australia,Victorian,Tropical,126.2,106.8,1,10,4,1,1,1,0,1,1,0,1,1,Red Brick,Shed,Ceramic Tile,22,7,Single Hung,Premium,2002,0,Modern,13478.16,30.94,5575.0,5575.0,8,1418191.0,283,254.38
France,Ranch,Mediterranean,75.3,78.7,1,9,1,5,1,1,1,1,0,0,1,0,Wood Frame,Gable,Laminate,26,7,Double Hung,Premium,1991,1,Traditional,5926.11,13.6,3928.0,3928.0,10,1195348.0,216,304.31
